N,P,K,ph,temperature,humidity,label
90,42,43,6.502985292000001,20.87974371,82.00274423,rice
85,58,41,7.038096361,21.77046169,80.31964408,rice
60,55,44,7.840207144,23.00445915,82.3207629,rice
74,35,40,6.980400905,26.49109635,80.15836264,rice
78,42,42,7.628472891,20.13017482,81.60487287,rice
69,37,42,7.073453503,23.05804872,83.37011772,rice
69,55,38,5.70080568,22.70883798,82.63941394,rice
94,53,40,5.718627177999999,20.27774362,82.89408619,rice
89,54,38,6.685346424,24.51588066,83.53521629999999,rice
68,58,38,6.336253525,23.22397386,83.03322691,rice
91,53,40,5.386167788,26.52723513,81.41753846,rice
90,46,42,7.50283396,23.97898217,81.45061596,rice
78,58,44,5.108681786,26.80079604,80.88684822,rice
93,56,36,6.98435366,24.01497622,82.05687182,rice
94,50,37,6.94801983,25.66585205,80.66385045,rice
60,48,39,7.042299068999999,24.28209415,80.30025587,rice
85,38,41,6.2490506560000005,21.58711777,82.7883708,rice
91,35,39,6.970859754,23.79391957,80.41817957,rice
77,38,36,5.953933276,21.8652524,80.1923008,rice
88,35,40,5.85393208,23.57943626,83.58760316,rice
89,45,36,6.442475375,21.32504158,80.47476396,rice
76,40,43,5.070175667,25.15745531,83.11713476,rice
67,59,41,6.012632591,21.94766735,80.97384195,rice
83,41,43,6.254028451,21.0525355,82.67839517,rice
98,47,37,7.375482851,23.48381344,81.33265073,rice
66,53,41,7.778915154,25.0756354,80.52389148,rice
97,59,43,6.2865001760000006,26.35927159,84.04403589,rice
97,50,41,7.070959995,24.52922681,80.54498576,rice
60,49,44,6.244841491,20.77576147,84.49774397,rice
84,51,35,6.043304899,22.30157427,80.64416466,rice
73,57,41,5.824709117,21.44653958,84.94375962,rice
92,35,40,6.3573893660000005,22.17931888,80.33127223,rice
85,37,39,6.364134967999999,24.52783742,82.73685569,rice
98,53,38,5.01450727,20.26707606,81.63895217,rice
88,54,44,6.149410611,25.7354293,83.88266234,rice
95,55,42,5.950660556,26.79533926,82.1480873,rice
99,57,35,5.960370061,26.75754171,81.17734011,rice
95,39,36,5.561398642,23.86330467,83.15250801,rice
60,43,44,7.416245107000001,21.01944696,82.95221726,rice
63,44,41,5.583370042,24.17298839,83.7287574,rice
62,42,36,6.430010215,22.78133816,82.06719137,rice
64,45,43,5.534878156,25.62980105,83.52842314,rice
83,60,36,6.903985986,25.59704938,80.14509262,rice
82,40,40,6.271478837999999,23.83067496,84.81360127,rice
85,52,45,7.224285503,26.31355498,82.36698992,rice
91,35,38,6.13428721,24.8972823,80.52586088,rice
76,49,42,5.206373153,24.958779,84.47963372,rice
74,39,38,7.782051312999999,23.24113501,84.59201843,rice
79,43,39,7.062779015,21.66628296,80.70960551,rice
88,55,45,7.730367824,24.63544858,80.41363018,rice
60,36,43,5.286203711000001,23.43121862,83.06310136,rice
76,60,39,6.766240045,20.0454142,80.3477562,rice
93,56,42,7.382762603,23.85724032,82.22572988,rice
65,60,43,5.658169482000001,21.97199397,81.89918197,rice
95,52,36,5.543360237999999,26.22916897,83.83625819,rice
75,38,39,6.215109715,23.44676801,84.79352417,rice
